1950's,,,,,,,,,,,
,Author,Title,Year,Series,Source,Added,Lot,When Read,Score,,decade
,"Murphy, Pat","The City, not Long After",1989,,,,,,,,
,"Ryman, Geoff",The Child Garden,1989,,,,,,,,
,"Tepper, Sheri S.",Grass,1989,,,,BOB 6,,,,
,"Simmons, Dan",Hyperion,1989,,,,BEER BOX,,,,
,,,,,,,,,,,
1990's,,,,,,,,,,,
,"Allen, Roger McBride",The Ring of Charon,1990,,,,BOB 6,,,,0.23
,"Bear, Greg",Queen of Angels,1990,,,,SA BOX,Sep-16,6,,
,"Bisson, Terry",Voyage to the Red Planet,1990,,,,,,,,
,"Brin, David",Earth,1990,,,,SA BOX,Oct-16,4,,
,"Bujold, Lois McMaster",The Vor Game,1990,,,,,,8,,
,"Donaldson, Stephen",The Gap into Conflict,1990,Gap 1,,,,,,,
,"Gibson, William & Sterling",The Difference Engine,1990,,,,,,,,
,"Greenland, Colin",Take Back Plenty,1990,,,,BOX 3,,,,
,"Kress, Nancy",Brain Rose,1990,,,,,,,,
,"Kube-McDowell, Michael P.",The Quiet Pools,1990,,,,,,,,
,,,,,,,,,,,
,"Cadigan, Pat",Synners,1991,,,,BOB XIII,Oct-19,1,,
,"Fowler, Karen Joy",Sarah Canary,1991,,,,,,7,,
,"Jones, Gwyneth",White Queen,1991,,,,,,,,
,"Lafferty, R.A.",Lafferty in Orbit,1991,ss,,,,,,,
,"McAuley, Paul",Eternal Light,1991,,,,BEANS 1,,,,
,"Moffett, Judith",This Ragged World,1991,1,,,,,,,
,"Newman, Kim",Jago,1991,,,,,,,,
,"Platt, Charles",Silicon Mann,1991,,,,,,,,
,"Robinson, Frank M.",The Dark Beyond the Stars,1991,,,,,,,,
,"Rucker, Rudy",The Hollow Earth,1991,,,,,,,,
,"Silverberg, Robert",The Face of the Waters,1991,,,,SA BOX,,,,
,"Swanwick, Michael",Stations of the Tide,1991,,,,BOX K,Mar-20,7,,
,"Wilhelm, Kate",Death Qualified,1991,,,,SA BOX,,,,
,,,,,,,,,,,
,"Barnes, John",A Million Open Doors,1992,,,,,,7,,
,"Bishop, Michael",Counter Geiger's Blues,1992,,,,BS,,,,
,"Blaylock, Michael",Lord Kelvin's Machine,1992,,,,BS,,,,
,"Cadigan, Pat",Fools,1992,,,,,,,,
,"Jablokov, Alexander",A Deeper Sea,1992,,,,2021 BOX,,,,
,"Robinson, Kim Stanley",Red Mars,1992,Mars 1,,,,,8,,
,"Russo, Richard Paul",Destroying Angel,1992,,,,CHX BOX,,,,
,"Varley, John",Steel Beach,1992,,,,,,,,
,"Vinge, Vernor",A Fire Upon the Deep,1992,,,,,,4,,
,"Willis, Connie",Doomsday Book,1992,,,,BOX X,,,,
,,,,,,,,,,,
,"Anderson, Poul",Harvest of Stars,1993,guthrie 1,,,BOB 6,,,,
,"Baxter, Stephen",Anti-Ice,1993,,,,,Jul-16,7,,
,"Bear, Greg",Moving Mars,1993,Queen 3,nebula,Jan-17,lib,Jun-17,7,,
,"Brin, David",Glory Season,1993,,,,,,,,
,"Butler, Octavia",Parable of the Sower,1993,parable 1,,,BOX 16,,,,
,"Kress, Nancy",Beggars in Spain,1993,,,,EGGO 3,,,,
,"Laidlaw, Marc",Kalifornia,1993,,,,,,,,
,"McAuley, Paul",Red Dust,1993,,,,ZIP BOX 1,,,,
,"Park, Paul",Coelestis,1993,,,,,,,,
,"Zindell, David",The Broken God,1993,,,,,,,,
,,,,,,,,,,,
,"Aldiss, Brian",Somewhere East of Life,1994,,,,Google,Aug-15,7,,
,"Anderson, Poul",The Stars are Also Fire,1994,guthrie 2,,,SA BOX,,,,
,"Banks, Iain",Feersun Enjinn,1994,,,,CHX BOX 2,,,,
,"Barnes, John",Mother of Storms,1994,,,,,,,,
,"Bishop, Michael",Brittle Innings,1994,,,,BOB 3,Dec-17,8,,
,"Kelly, James Patrick",Wildlife,1994,,,,BOB 6,,,,
,"McAuley, Paul J.",Pasquale's Angel,1994,,,,,,,,
,"McDonald, Iain",Necroville,1994,,,,,,,,
,"McHugh, Maureen F.",Half the Day is Night,1994,,,,,,,,
,"McMullen, Sean",Voices in the Light,1994,,,,,,,,
,"Silverberg, Robert",Hot Sky at Midnight,1994,,,,,,,,
,"Sterling, Bruce",Heavy Weather,1994,,,,,,,,
,"Sturgeon, Theodore",The Ultimate Egoist,1994,ss omni 1,,,garage,,,,
