,,,,,,,,
,Author,Title,Year,Series,Source,Added,Lot,
,"Tucker, Wilson",The Best of Wilson Tucker,1982,Pocket,ser,Aug-18,PDX BOX,
,"Westlake, Donald",One of Us Is Wrong,1986,Holt 1,auth,Aug-18,PDX BOX,
,"Wilhelm, Kate",The Infinity Box,1975,ss,auth,Aug-18,PDX BOX,
,,,,,,,,
,"Anderson, Poul",The Devil's Game,1980,,auth,Aug-18,MESA BOX,
,"Asimov, Isaac",Fact and Fancy,1962,FSF 1,IA NF,Oct-19,MESA BOX,
,"Asimov, Isaac",Adding a Dimension,1964,FSF 3,IA NF,Oct-19,MESA BOX,
,"Asimov, Isaac","Of Time, Space and Other Things",1965,FSF 4,IA NF,Oct-19,MESA BOX,
,"Asimov, Isaac",Casebook of the Black Widowers,1980,BW 3,auth,Oct-19,MESA BOX,
,"Bayley, Barrington",The Star Virus,1970,,auth,Aug-18,MESA BOX,
,"Blish, James",The Night Shapes,1961,,auth,Aug-18,MESA BOX,
,"Goldman, William",The Marathon Man,1974,,movie,Aug-18,MESA BOX,
,"Goulart, Ron",When the Waker Sleeps,1975,,haul,Aug-18,MESA BOX,
,"Goulart, Ron",Calling Dr. Patchwork,1978,odd job 1,haul,Aug-18,MESA BOX,
,"Harrison, Harry",Tunnel Through the Deeps,1972,,auth,Oct-13,MESA BOX,
,"Jakes, John",Mask of Chaos,1970,,ace 2x,Aug-18,MESA BOX,
,"Jakes, John",The Best of John Jakes,1977,DAW,ser,Aug-18,MESA BOX,
,"Leiber, Fritz",Ship of Shadows,1979,novella,auth,Aug-18,MESA BOX,
,"Moorcock, Michael, ed.",The Best SF Stories From New Worlds,1968,ss anth,new wave,Aug-18,MESA BOX,
,"Tiptree, James Jr.",Ten Thousand Light Years From Home,1973,ss,2nd read,Aug-18,MESA BOX,
,"Westlake, Donald",The Curious Facts Preceding My Execution,1968,ss,,Mar-17,MESA BOX,
,"Westlake, Donald",Jimmy the Kid,1974,Dort 3,sffaudio,Mar-17,MESA BOX,
,"Westlake, Donald",Kahawa,1981,,sffaudio,Mar-17,MESA BOX,
,,,,,,,,
,"Aldiss, Brian",The Male Response,1961,,auth,Jun-17,PUMA BOX,
,"Ardai, Charles",The Nice Guys,2016,,HCC,Nov-16,PUMA BOX,
,"Armstrong, Jon",Grey,2007,,PKD,Jun-17,PUMA BOX,
,"Austin, J.D.",Second Contact,2001,,schlock,May-17,PUMA BOX,
,"Bensen, Donald R. ",And Having Writ...,1978,,campbell,Jun-17,PUMA BOX,
,"Bradley, Alan",The Sweetness at the Bottom of the Pie,2009,de Luce 1,AQ Rev,Jun-15,PUMA BOX,
,"Butler, Octavia",Clay's Ark,1984,pattern 5,auth,Aug-13,PUMA BOX,
,"Doyle, Arthur Conan",The Valley of Fear,1914,,HCC,Nov-16,PUMA BOX,
,"Howard, Hayden",The Eskimo Invasion,1967,,nebula,Aug-17,PUMA BOX,
,"King, Stephen",Joyland,2013,,HCC,Feb-17,PUMA BOX,
,"Malzberg, Barry",The Man who Loved the Midnight Lady,1980,ss,auth,Jun-17,PUMA BOX,
,"MacDonald, John D.",Border Town Girl,1956,,auth,Sep-17,PUMA BOX,
,"MacDonald, John D.",Slam the Big Door,1960,,auth,Sep-17,PUMA BOX,
,"Orwell, George",A Clergyman's Daughter,1935,,lit,Sep-17,PUMA BOX,
,"Westlake, Donald",The Hot Rock,1970,Dort 1,auth,Mar-17,PUMA BOX,
,"White, James",Second Ending / Monsters and Medics,1962,,hugo,Oct-16,PUMA BOX,
,"Wilhelm, Kate",Margaret and I,1971,,sf rum,Aug-14,PUMA BOX,
,,,,,,,,
,"Ambler, Eric",The Mask of Demitrios,1939,,auth,Oct-17,BOB XV,
,"Block, Lawrence",Here Comes a Hero,1968,Tanner 6,auth,Feb-17,BOB XV,
,"Brackett, Leigh",The Nemesis From Terra,1961,,B-task,Oct-17,BOB XV,
,"Bradbury, Ray",Dinosaur Tales,1983,ss,auth,Oct-17,BOB XV,
,"Finney, Jack",The Third Level,1959,ss,haul,Oct-17,BOB XV,
,"Prather, Richard S.",The Trojan Hearse,1964,,auth,Oct-17,BOB XV,
,"Rabe, Peter",Mission For Vengance,1958,,noir,Oct-17,BOB XV,
,"Swann, Thomas Burnett",The Tournament of Thorns,1976,Ace SF 2,ser,Oct-17,BOB XV,
,,,,,,,,
,"Ackerley, J.R.",My Dog Tulip,1965,NYRB,GBird,Mar-18,BOB XVI,
,"Anderson, Poul",New America,1982,Rustum 2,auth,Oct-18,BOB XVI,
,"Anderson, Poul",Conflict,1983,ss,auth,Jan-18,BOB XVI,
,"Anthony, Piers / Margoff",The Ring,1968,Ace SF 1,ser,Nov-13,BOB XVI,
,"Asimov, Isaac",Nightfall and Other Stories,1969,ss,auth,Oct-18,BOB XVI,
,"Asimov, Isaac",The Planet that Wasn't,1976,FSF 14,AI NF,Oct-18,BOB XVI,
,"Bear, Greg",Eternity,1988,Eon 2,ser,Jan-12,BOB XVI,
,"Cortazar, Julio",Hopscotch,1963,,b.t. food,Oct-98,BOB XVI,
,"Cortazar, Julio",62: A Model Kit,1968,,lit,Oct-98,BOB XVI,
,"Franke, Hilbert W.",The Orchid Cage,1961,,SFE,Apr-19,BOB XVI,
,Harrison & Stover,Stonehedge,1972,,auth,Oct-13,BOB XVI,
,"Japrisot, Sebastien",The Lady in the Car with the Glasses and a Gun,1966,,noir,Oct-98,BOB XVI,
,"Malzberg, Barry",The Best of Barry N. Malzberg,1975,Pocket,ser,Jun-00,BOB XVI,
,"Pargeter, Edith",The Sanctuary Sparrow,1983,Cadfael 7,ser,Jun-19,BOB XVI,
,"Pargeter, Edith",The Devil's Notice,1983,Cadfael 8,ser,Aug-19,BOB XVI,
,"Pargeter, Edith",Dead Man's Ransom,1984,Cadfael 9,ser,Jun-19,BOB XVI,
,"Pargeter, Edith",The Pilgrim of Hate,1984,Cadfael 10,ser,Oct-18,BOB XVI,
,"Pargeter, Edith",The Raven in the Foregate,1986,Cadfael 12,ser,Aug-19,BOB XVI,
,"Pargeter, Edith",The Rose Rent,1986,Cadfael 13,ser,Jun-19,BOB XVI,
,"Pargeter, Edith",The Heretic's Apprentice,1990,Cadfael 16,ser,Oct-18,BOB XVI,
,"Pargeter, Edith",The Potter's Field,1989,Cadfael 18,ser,Jun-19,BOB XVI,
,"Pargeter, Edith",The Summer of the Danes,1991,Cadfael 19,ser,Jun-19,BOB XVI,
,"Pargeter, Edith",The Holy Thief,1992,Cadfael 20,ser,Jun-19,BOB XVI,
,"Singer, Isaac Bashevis",The Penitent,1983,,lit,Apr-19,BOB XVI,
,"Stableford, Brian",The City of the Sun,1978,Deadalus 4,ser,Jun-16,BOB XVI,
,"Stableford, Brian",Balance of Power,1979,Deadalus 5,ser,Jun-16,BOB XVI,
,"Stableford, Brian",The Paradox of Sets,1979,Deadalus 6,ser,Jun-16,BOB XVI,
,"Thompson, Jim",The Criminal,1953,,BLiz,Sep-18,BOB XVI,
,"Thompson, Jim",The Kill-Off,1957,,auth,Oct-18,BOB XVI,
,"Thompson, Jim","After Dark, My Sweet",1955,,BLiz,Sep-18,BOB XVI,
,"Westlake, Donald",The Hunter,1962,Parker 1,2nd read,Mar-17,BOB XVI,
,"Westlake, Donald",Cops and Robbers,1972,,sffaudio,Mar-17,BOB XVI,
,"Westlake, Donald",Comeback,1997,Parker 17,iverson,May-17,BOB XVI,
,"Westlake, Donald",What's So Funny?,2007,Dort 12,iverson,Oct-17,BOB XVI,
,"Williamson, Jack",The Power of Blackness,1976,,auth,Apr-19,BOB XVI,
,"Williamson, Jack",The Queen of the Legion,1983,LoS 4,ser,Jun-19,BOB XVI,
,,,,,,,,
,"Anderson, Poul",The Fleet of Stars,1997,Guthrie 4,ser,Mar-19,BOB XVII,
,"Asimov, Isaac",Opus 100,1969,coll,auth,Oct-18,BOB XVII,
,"Kipling, Rudyard",The Jungle Book,1894,ss,auth,Mar-19,BOB XVII,
,"Kipling, Rudyard",The Second Jungle Book,1895,ss,auth,Mar-19,BOB XVII,
,"Kipling, Rudyard",Captains Courageous,1896,,auth,Mar-19,BOB XVII,
,"Pargeter, Edith",St. Peter's Fair,1981,Cadfael 4,ser,Oct-18,BOB XVII,
,"Pargeter, Edith",The Leper of St. Giles,1981,Cadfael 5,ser,Oct-18,BOB XVII,
,"Pargeter, Edith",The Virgin in the Ice,1982,Cadfael 6,ser,Oct-18,BOB XVII,
,"Twain, Mark",A Connecticut Yankee in King Arthur's Court,1889,,SFE,Mar-19,BOB XVII,
,"Wilhelm, Kate",Huysman's Pets,1986,,auth,Oct-18,BOB XVII,
,"Williamson, Jack",Golden Blood,1933,,auth,Mar-19,BOB XVII,
,"Williamson, J. & F. Pohl",Land's End,1988,,auth,Mar-19,BOB XVII,
,,,,,,,,
,"Anderson, Poul",The Makeshift Rocket,1962,,auth,Sep-19,BOB XVIII,
,"Anderson, Poul",Homeward and Beyond,1975,ss,auth,Sep-19,BOB XVIII,
,"Asimov, Isaac",Twentieth Century Discovery,1969,,AI NF,Sep-19,BOB XVIII,
,"Brunner, John",Now Then,1965,ss,auth,Sep-19,BOB XVIII,
,"Conway, Gerard F.",The Midnight Dancers,1971,Ace SF 1,ser,Sep-19,BOB XVIII,
,"Kipling, Rudyard",The Light that Failed,1891,,auth,Sep-19,BOB XVIII,
,"Leiber, Fritz",Ships to the Stars,1964,ss,auth,Sep-19,BOB XVIII,
,"Saberhagen, Fred, ed.",Pawn to Infinity,1982,anth.,games,Aug-19,BOB XVIII,
,"Simak, Clifford",A Heritage of Stars,1977,,auth,Sep-19,BOB XVIII,
,"Sturgeon, Theodore",Not Without Sorcery,1948,ss,auth,Sep-19,BOB XVIII,
,"Sturgeon, Theodore",Caviar,1955,ss,auth,Sep-19,BOB XVIII,
,"Sturgeon, Theodore",A Way Home,1956,ss,auth,Sep-19,BOB XVIII,
,"Sturgeon, Theodore",A Touch of Strange,1958,ss,auth,Sep-19,BOB XVIII,
,"Sturgeon, Theodore",Beyond,1960,ss,auth,Sep-19,BOB XVIII,
,"Sturgeon, Theodore",Sturgeon in Orbit,1964,ss,auth,Sep-19,BOB XVIII,
,"Sturgeon, Theodore",The Worlds of Theordore Sturgeon,1972,Ace SF 1+,auth,Sep-19,BOB XVIII,
,"Sturgeon, Theodore",Visions and Venturers,1978,ss,auth,Sep-19,BOB XVIII,
,"Wells, H.G.",Mr. Blettsworthy on Rampole Island,1928,,auth,Sep-19,BOB XVIII,
,"Williams, Charles (US)",A Touch of Death,1953,,2nd read,Nov-19,BOB XVIII,
,,,,,,,,
,"Farmer, Philip Jose","Inside, Outside",1964,,Equinox,Jul-98,BOX 5,
,"Farmer, Philip Jose",Two Hawks from Earth,1979,,auth,Jul-98,BOX 5,
,"Farmer, Philip Jose",Stations of the Nightmare,1982,,auth,Jul-98,BOX 5,
,"Monks, Robert A.G.",Reel and Rout,2004,,econ,Jan-10,BOX 5,
,Niven and Pournelle,Footfall,1985,,TIE,Jul-98,BOX 5,
,"Shields, David",The Thing About Life is that One Day You'll be Dead,2008,,klosterman,Jan-12,BOX 5,
,,,,,,,,
,"Bloch, Robert",Mysteries of the Worm,1981,ss,B-task,Apr-17,BOX 17,
,"Finney, Charles G.",The Circus of Dr. Lao,1935,,SFE,Aug-14,BOX 17,
,"Harrison, Harry",The Technicolor Time Machine,1967,,auth,Apr-17,BOX 17,
,"Harrison, Harry",The Jupiter Plague,1965,,auth,Apr-17,BOX 17,
,"Hesse, Hermann",Narcissus and Goldmund,1968,,lit,Jun-10,BOX 17,
,"Koenig, Joseph",False Negative,2012,,HCC,Feb-17,BOX 17,
,"Lem, Stanislaw",Hospital of the Transfiguration,1957,,auth,Jul-98,BOX 17,
,"Lem, Stanislaw",Memoirs of a Space Traveller,1982,Tichy 2,auth,Jul-98,BOX 17,
,"Lem, Stanislaw",Microworlds,1984,coll,auth,Nov-13,BOX 17,
,"Lem, Stanislaw & P. Swirski",A Stanislaw Lem Reader (Rethinking Theory),1997,coll,auth,Nov-13,BOX 17,
,"Russell, May Doria",The Sparrow,1996,,campbell,Jun-10,BOX 17,
,"Saberhagen, Fred",The Dracula Tape,1975,Drac 1,auth,Jun-07,BOX 17,
,"Saberhagen, Fred",The Mask of the Sun,1979,,auth,Jun-07,BOX 17,
,"Tiptree, James Jr.",Warm Worlds and Otherwise,1975,ss,auth,Jul-98,BOX 17,
,,,,,,,,
,"Amis, Kingsley",The Anti-Death League,1966,,burgess,Aug-17,BLACK BOX,
,"Asimov, Isaac",A Whiff of Death,1958,,auth,Dec-17,BLACK BOX,
,"Bradley, Marion Z.",The Sword of Aldones,1962,,hugo,Dec-17,BLACK BOX,
,"Halliday, Brett",Murder is My Business,1945,,HCC,Feb-17,BLACK BOX,
,"MacDonald, John D.",Judge me Not,1951,,auth,Dec-17,BLACK BOX,
,"MacDonald, John D.",Where is Janice Gantry?,1961,,2nd read,Dec-17,BLACK BOX,
,"Scheerbart, Paul",The Perpertual Motion Machine,1910,,oddity,Dec-17,BLACK BOX,
,"Vance, Jack",The Languages of Pao,1958,,2nd read,Dec-17,BLACK BOX,
,"Vance, Jack",The Best of Jack Vance,1976,ss,Pocket,Dec-17,BLACK BOX,
,"Westlake, Donald",Bank Shot,1972,Dort 2,ser,Mar-17,BLACK BOX,
,"Westlake, Donald",The Hook,2000,,auth,Nov-01,BLACK BOX,
,"Westlake, Donald",Bad News,2001,,auth,Oct-17,BLACK BOX,
,"Westlake, Donald",Money for Nothing,2003,,auth,Dec-17,BLACK BOX,
,"Westlake, Donald",Watch Your Back!,2005,Dort 11,ser,Oct-17,BLACK BOX,
,"Williamson, Jack",One Against the Legion,1950,LoS 3,auth,Dec-17,BLACK BOX,
,"Williamson, J. & F. Pohl",Undersea Fleet,1956,Eden 2,auth,Dec-17,BLACK BOX,
,,,,,,,,
,"Clark, Jack",Nobody's Angel,2010,,HCC,Nov-16,BOX OR,
,"Foster, Alan Dean",Icerigger,1974,,Barlowe,Aug-14,BOX OR,
,"Fowles, John",The French Lieutenant's Woman,1969,,lit,Aug-14,BOX OR,
,"Jones, Langdon",The Eye of the Lens,1972,ss,haul,Aug-14,BOX OR,
,"Stableford, Brian",Journey to the Center,1982,Asgard 1,SFE,Aug-14,BOX OR,
,"Sterne, Laurence",A Sentimental Journey,1768,,lit,Jul-21,BOX OR,
,"Vonnegut, Kurt",Galapagos,1985,,TIE,Jul-98,BOX OR,
,"Westlake, D. & A.",Transylvania Station,1987,,game,Jul-21,BOX OR,
,"Womack, Jack",Random Acts of Senseless Violence,1993,Terra 1,SFE,Mar-17,garage,
,"Womack, Jack",Heathern,1990,Terra 2,SFE,Aug-14,BOX OR,
,"Womack, Jack",Ambient,1987,Terra 3,TIE,Mar-17,garage,
,"Womack, Jack",Terraplane,1988,Terra 4,SFE,Aug-14,BOX OR,
,,,,,,,,
,"Aldiss, Brian, ed.",All About Venus,1968,anth.,GBird,Mar-18,BOX 23,
,"Asimov, Isaac",Murder at the ABA,1976,,auth,Mar-18,BOX 23,
,"Brown, Fredric",Rogue in Space,1957,,mistake,Mar-18,BOX 23,
,"Christopher, John",The Caves of Night,1958,,noir,Mar-18,BOX 23,
,"Compton, D.G.",A Usual Lunacy,1978,,auth,Mar-18,BOX 23,
,"Hoyle, Fred",The Black Cloud,1957,,TIE,Apr-18,BOX 23,
,"Leiber, Fritz",The Sinful Ones,1980,,auth,Apr-18,BOX 23,
,"MacDonald, John D.","The Girl, the Gold Watch & Everything",1962,,auth,Mar-18,BOX 23,
,"Nielsen, Helen",Sing Me a Murder,1988,,BLiz,Sep-17,BOX 23,
,"Pohl, Frederik",Demon in the Skull,1984,,auth,Mar-18,BOX 23,
,"Saberhagen, Fred",Specimens,1976,,auth,Apr-18,BOX 23,
,"Shiel, M.P.",The Purple Cloud,1930,,SFE,Mar-18,BOX 23,
,"Thompson, Jim",A Hell of a Woman,1954,,BLiz,Sep-17,BOX 23,
,"van Vogt, A. E.",The Changeling,1950,,auth,Mar-18,BOX 23,
,"van Vogt, A. E.",The Man with a Thousand Names,1974,,mistake,Mar-18,BOX 23,
,"Whittington, Harry",You'll Die Next,1954,,noir,Mar-18,BOX 23,
,"White, James",Tomorrow is too Far,1971,,auth,Apr-18,BOX 23,
,"Williams, John",Stoner,1965,,lit,Mar-18,BOX 23,
,,,,,,,,
,"Amis, Kingsley",The James Bond Dossier,1965,,auth,Mar-19,BOX 24,
,"Asimov, Isaac",Tales of the Black Widowers,1974,BW 1,auth,Mar-19,BOX 24,
,"Blish, James",The Warriors of Day,1953,,auth,Jun-19,BOX 24,
,"Brunner, John",The Day of the Star Cities,1965,,auth,Apr-19,BOX 24,
,"Chesterton, G.K.",The Man Who Was Thursday,1908,,sffaudio,Feb-18,BOX 24,
,"Crichton, Michael",The Andromeda Strain,1969,,sffaudio,Mar-19,BOX 24,
,"Coney, Michael",Mirror Image,1972,,haul,Jun-19,BOX 24,
,"Coney, Michael",Rax,1975,,sf rum,Aug-14,BOX 24,
,"Harrison, Harry",Invasion: Earth,1982,,auth,Jun-19,BOX 24,
,"Laumer, Keith",The Glory Game,1973,,games,Mar-19,BOX 24,
,"Macdonald, Ross",The Way Some People Die,1951,Archer 3,auth,Mar-19,BOX 24,
,"Macdonald, Ross",The Galton Case,1959,Archer 8,auth,Mar-19,BOX 24,
,"Pargeter, Edith",An Excellent Mystery,1985,Cadfael 11,ser,Apr-19,BOX 24,
,"Pargeter, Edith",The Hermit of Eyton Forest,1987,Cadfael 14,ser,Mar-19,BOX 24,
,"Pargeter, Edith",The Confession of Brother Haluin,1988,Cadfael 15,ser,Mar-19,BOX 24,
,"Pargeter, Edith",A Rare Benedictine,1988,Cadfael 16,ser,Mar-19,BOX 24,
,"Pargeter, Edith",Brother Cadfael's Penance,1994,Cadfael 21,ser,Mar-19,BOX 24,
,"Pournelle & Carr, eds.",The Survival of Freedom,1981,,anth,Mar-19,BOX 24,
,"Vance, Jack",Showboat World,1975,BP 2,auth,Jun-19,BOX 24,
,"White, James",Lifeboat,1972,,auth,Mar-19,BOX 24,
,"Williamson, J. & J. Gunn",Star Bridge,1955,,auth,Mar-19,BOX 24,
,"Williamson, Jack",The Humanoid Touch,1980,Humanoid 2,SFE,Aug-16,BOX 24,
,"Zelazny, Roger",To Die in Iltbar,1973,Dead 2,auth,Jun-19,BOX 24,
,,,,,,,,
,"Brunner, John",Enigma from Tantalus,1965,,auth,Jul-19,MKE BOX,
,"Brunner, John",The Repairmen of Cyclops,1965,Zara 3,auth,Jul-19,MKE BOX,
,"Capek, Karol",Apocryphal Stories,1945,ss,lit,Jul-19,MKE BOX,
,"Drake, David, et. al.",A Separate Star,1989,anth.,kipling,Jun-19,MKE BOX,
,"Greene, Graham",A Gun for Sale,1936,,GBird,Jul-18,MKE BOX,
,"Harrison, Harry",War with the Robots,1962,ss,SFE,Oct-13,MKE BOX,
,"Harrison, Harry",The Daleth Effect,1970,,SFE,Oct-13,MKE BOX,
,"Harrison, Harry",Prime Number,1970,ss,auth,Jul-19,MKE BOX,
,"Jensen, Johannes V.",The Fall of the King,1901,,anderson,Jun-19,MKE BOX,
,"Laurence, Margaret",The Stone Angel,1964,,peterson,Jul-19,MKE BOX,
,"London, Jack",Before Adam,1907,,Harris,Jul-15,MKE BOX,
,"Vance, Jack",The Many Worlds of Magnus Ridolph,1966,ss,auth,Jul-19,MKE BOX,
,"Westlake, Donald",Flashfire,2000,Parker 19,ser,May-17,MKE BOX,
,"Westlake, Donald",Firebreak,2001,Parker 20,iverson,May-17,MKE BOX,
,,,,,,,,
,Shakespeare,A Midsummer Night's Dream,1595,Greece 2,lit,Oct-18,BOX SH,
,Shakespeare,The Two Noble Kinsmen,1614,Greece 3,lit,Aug-20,BOX SH,
,Shakespeare,Troilus and Cressida,1602,Greece 4,lit,Aug-20,BOX SH,
,Shakespeare,Timon of Athens,1606,Greece 5,lit,Aug-20,BOX SH,
,Shakespeare,The Winter's Tale,1611,Greece 6,lit,Sep-18,BOX SH,
,Shakespeare,Pericles,1608,Greece 8,lit,Aug-20,BOX SH,
,Shakespeare,Lucrece,1594,Rome 1,lit,Sep-18,BOX SH,
,Shakespeare,Coriolanus,1608,Rome 2,lit,Oct-18,BOX SH,
,Shakespeare,Antony and Cleopatra,1606,Rome 4,lit,Oct-18,BOX SH,
,Shakespeare,Titus Andronicus,1592,Rome 5,lit,Aug-20,BOX SH,
,Shakespeare,Love Labor's Lost,1594,Italy 1,lit,Aug-20,BOX SH,
,Shakespeare,Romeo and Juliet,1594,Italy 4,2nd read,Oct-18,BOX SH,
,Shakespeare,As You Like It,1600,Italy 6,lit,Oct-18,BOX SH,
,Shakespeare,All's Well That Ends Well,1605,Italy 8,lit,Sep-19,BOX SH,
,Shakespeare,Othello,1604,Italy 9,2nd read,Sep-18,BOX SH,
,Shakespeare,Measure For Measure,1604,Italy 10,lit,Oct-18,BOX SH,
,Shakespeare,Shakespeare's Sonnets,1609,coll,lit,Jul-20,BOX SH,
,,,,,,,,
,"Alter, Robert E.",Carny Kill,1966,,BLiz,Sep-17,BOX 25,
,"Anderson, Poul",Harvest the Fire,1995,Guthrie 3,auth,Jun-17,BOX 25,
,"Bishop, Michael (ed.)",A Cross of Centuries,2007,anth,auth,Nov-19,BOX 25,
,"Effinger, George Alec",What Entropy Means to Me,1972,,sf rum,Jul-13,BOX 25,
,"Jakes, John",On Wheels,1973,,sf rum,Apr-20,BOX 25,
,"Joseph, M.K.",The Hole in the Zero,1967,,SFE,Aug-14,BOX 25,
,"Merril, Judith",Shadow on the Hearth,1950,,TIE,Jul-98,BOX 25,
,"Merril, Judith (ed.)",England Swings SF,1968,anth,stories,Mar-20,BOX 25,
,"Orwell, George",The Road to Wigan Pier,1937,,peterson,Jul-20,BOX 25,
,"Sterling, Bruce",Involution Ocean,1977,,ellison,Apr-20,BOX 25,
,"Westlake, Donald",Double Feature,1977,HCC,iverson,Apr-18,BOX 25,
,"Wilhelm, Kate",City of Cain,1974,,auth,Apr-20,BOX 25,
,"Wolfe, Gene",The Knight,2003,Knight 1,auth,Mar-20,BOX 25,
,"Wylie, Philip & E. Balmer",When Worlds Collide,1935,,sffaudio,Aug-17,BOX 25,
,,,,,,,,
,"Anderson, Poul",Time Patrolman,1983,Time 2,auth,Apr-20,WHITE BOX,
,"Brunner, John",More Things in Heaven,1973,,sf potp,Jul-16,WHITE BOX,
,"Collins, Max Allan",Killing Quarry,2019,Quarry 14,HCC,Mar-19,WHITE BOX,
,"Harrison, Harry",A Rebel in Time,1983,,auth,Jun-20,WHITE BOX,
,Harrison & Minsky,The Turing Option,1992,,auth,Jun-20,WHITE BOX,
,"Herbert, Frank",Destination: Void,1966,Pandora 0,auth,Jun-20,WHITE BOX,
,"Herbert, Frank",The Worlds of Frank Herbert,1970,ss,auth,Jun-20,WHITE BOX,
,"Struzan, Dylan",A Bloody Business,2019,,HCC,Oct-18,WHITE BOX,
,"von Doviak, Scott",Charlesgate Confidential,2018,,HCC,Jan-18,WHITE BOX,
,,,,,,,,
,"Anderson, Poul",Explorations,1981,ss,auth,Apr-20,BOX 26,
,"Boccaccio, Giovanni",The Decameron,1353,,lit,Sep-94,BOX 26,
,"Malzberg, Barry N.",Final War,1969,ss,auth,Jun-00,BOX 26,
,"Malzberg, Barry N.",Dwellers of the Deep,1970,,auth,Jun-00,BOX 26,
,"Malzberg, Barry N.",Gather in the Hall of Planets,1971,,auth,Jun-00,BOX 26,
,"Malzberg, Barry N.",Universe Day,1971,,auth,Jun-00,BOX 26,
,"Malzberg, Barry N.",In the Pocket,1971,ss,auth,Jun-00,BOX 26,
,"Malzberg, Barry N.",In the Enclosure,1973,,sf rum,Aug-14,BOX 26,
,"Malzberg, Barry N.",The Sodom and Gomorrah Business,1974,,2nd att,Aug-14,BOX 26,
,"Malzberg, Barry N.",The Destruction of the Temple,1974,,auth,Aug-14,BOX 26,
,"Malzberg, Barry N.",Out From Ganymede,1974,ss,auth,Aug-14,BOX 26,
,"Malzberg, Barry N.",The Gamesman,1975,,sf rum,Aug-14,BOX 26,
,"Malzberg, Barry N.",The Last Transaction,1977,,2nd att,Aug-14,BOX 26,
,"Malzberg, Barry N.",Malzberg at Large,1979,ss,auth,Jun-20,BOX 26,
,"Malzberg, Barry N.",The Cross of Fire,1982,,mporcius,Aug-14,BOX 26,
,"Malzberg, Barry N.",The Remaking of Sigmund Freud,1985,,PKD,Jul-98,BOX 26,
,"Stableford, Brian",The Halcyon Drift,1972,Grainger 1,auth,Jun-20,BOX 26,
,"Stableford, Brian",Rhapsody in Black,1973,Grainger 2,auth,Jun-20,BOX 26,
,"Stableford, Brian",Promised Land,1974,Grainger 3,auth,Jun-20,BOX 26,
,"Stableford, Brian",The Paradise Game,1974,Grainger 4,auth,Jun-20,BOX 26,
,"Stableford, Brian",The Fenris Device,1974,Grainger 5,auth,Jun-20,BOX 26,
,"Stableford, Brian",Swan Song,1975,Grainger 6,auth,Jun-20,BOX 26,
,,,,,,,,
,"Borges, Jorge Luis",The Garden of the Forking Paths,1941,ss,sffaudio,Oct-16,WOLFE 2,
,"Borges, Jorge Luis",Artifices,1944,ss,b.t. food,Oct-16,WOLFE 2,
,"Borges, Jorge Luis",The Aleph,1949,ss,b.t. food,Oct-16,WOLFE 2,
,"Borges, Jorge Luis",The Maker,1960,ss,b.t. food,Mar-17,WOLFE 2,
,"Borges, Jorge Luis",In Praise of Darkness,1969,ss,b.t. food,Mar-17,WOLFE 2,
,"Borges, Jorge Luis",Brodie's Report,1970,ss,b.t. food,Mar-17,WOLFE 2,
,"Borges, Jorge Luis",The Book of Sand,1975,ss,b.t. food,Mar-17,WOLFE 2,
,"Borges, Jorge Luis",Shakespeare's Memory,1983,ss,b.t. food,Mar-17,WOLFE 2,
,Dante,Purgatorio,1320,DC 2,lit,May-21,WOLFE 2,
,Dante,Paradisio,1320,DC 3,lit,May-21,WOLFE 2,
,"Kafka, Franz",Meditation,1913,ss,auth,Jul-20,WOLFE 2,
,"Kafka, Franz",The Judgement,1913,story,auth,Jul-20,WOLFE 2,
,"Kafka, Franz",The Stoker,1913,story,auth,Jul-20,WOLFE 2,
,"Kafka, Franz",The Metamorphosis,1915,novella,2nd read,Jul-20,WOLFE 2,
,"Kafka, Franz",A Country Doctor,1919,ss,auth,Jul-20,WOLFE 2,
,"Kafka, Franz",A Hunger Artist,1924,ss,auth,Jul-20,WOLFE 2,
,"Wolfe, Gene",There Are Doors,1988,,auth,Aug-20,WOLFE 2,
,"Wolfe, Gene",Strange Travellers,2000,ss,auth,May-21,WOLFE 2,
,"Wolfe, Gene",Pirate Freedom,2007,,sfsite,Jun-15,WOLFE 2,
,"Wolfe, Gene",A Borrowed Man,2015,,auth,Jun-21,WOLFE 2,
,"Wolfe, Gene",Interlibrary Loan,2020,,auth,Jun-21,WOLFE 2,
,,,,,,,,
,"Aldiss, Brian",Walcot,2009,,auth,Sep-16,BOB XIX,
,"Appel, Benjamin",The Funhouse,1959,,obit,Aug-20,BOB XIX,
,"Bradbury, Ray","Killer, Come Back to Me",2020,ss,HCC,Apr-20,BOB XIX,
,"Dickinson, Peter",The Green Gene,1973,,campbell,Aug-20,BOB XIX,
,"Malzberg, Barry N.",A Bed of Money,1970,,auth,Jul-20,BOB XIX,
,"Malzberg, Barry N.",Overlay,1972,,2nd read,Jul-20,BOB XIX,
,"Malzberg, Barry N.",Underlay,1974,,2nd read,Jul-20,BOB XIX,
,"Moore, Ward",Greener Than You Think,1947,,haul,Aug-20,BOB XIX,
,"Oates, Joyce Carol",Triumph of the Spider Monkey,1974,,HCC,Mar-19,BOB XIX,
,"Oates, Joyce Carol","Love, Careless Love",1976,novella,HCC,Aug-20,BOB XIX,
,"Powers, Richard",Galatea 2.2,1995,,101,Aug-13,BOB XIX,
